ProgrammeCoursesID,Programme code,Study Year,Academic Year,Course,Course Type
1,10001,1.0,2013-2014,1204,compulsory
2,10001,1.0,2013-2014,1082,compulsory
3,10001,1.0,2013-2014,1190,compulsory
4,10001,1.0,2013-2014,1009,compulsory
5,10001,1.0,2013-2014,1264,elective
6,10001,1.0,2013-2014,1161,elective
7,10001,1.0,2013-2014,1076,elective
8,10001,1.0,2013-2014,1055,elective
9,10001,1.0,2013-2014,1048,elective
10,10001,1.0,2013-2014,1007,elective
11,10001,1.0,2014-2015,1124,compulsory
12,10001,1.0,2014-2015,1019,compulsory
13,10001,1.0,2014-2015,1193,compulsory-elective
14,10001,1.0,2014-2015,1108,compulsory-elective
15,10001,1.0,2014-2015,1063,compulsory-elective
16,10001,1.0,2014-2015,1050,compulsory-elective
17,10001,1.0,2014-2015,1256,elective
18,10001,1.0,2014-2015,1240,elective
19,10001,1.0,2014-2015,1159,elective
20,10001,1.0,2014-2015,1107,elective
21,10001,1.0,2014-2015,1068,elective
22,10001,1.0,2014-2015,1048,elective
23,10001,1.0,2015-2016,1256,compulsory
24,10001,1.0,2015-2016,1251,compulsory
25,10001,1.0,2015-2016,1269,compulsory
26,10001,1.0,2015-2016,1200,compulsory
27,10001,1.0,2015-2016,1290,elective
28,10001,1.0,2015-2016,1197,elective
29,10001,1.0,2015-2016,1147,elective
30,10001,1.0,2015-2016,1123,elective
31,10001,1.0,2015-2016,1052,elective
32,10001,1.0,2016-2017,1186,compulsory
33,10001,1.0,2016-2017,1102,compulsory
34,10001,1.0,2016-2017,1227,compulsory-elective
35,10001,1.0,2016-2017,1089,compulsory-elective
36,10001,1.0,2016-2017,1084,compulsory-elective
37,10001,1.0,2016-2017,1021,compulsory-elective
38,10001,1.0,2016-2017,1252,elective
39,10001,1.0,2016-2017,1172,elective
40,10001,1.0,2016-2017,1158,elective
41,10001,1.0,2016-2017,1091,elective
42,10001,1.0,2016-2017,1045,elective
43,10001,1.0,2017-2018,1272,compulsory
44,10001,1.0,2017-2018,1248,compulsory
45,10001,1.0,2017-2018,1232,compulsory
46,10001,1.0,2017-2018,1006,compulsory
47,10001,1.0,2017-2018,1241,elective
48,10001,1.0,2017-2018,1215,elective
49,10001,1.0,2017-2018,1090,elective
50,10001,1.0,2017-2018,1085,elective
51,10001,1.0,2017-2018,1082,elective
52,10001,1.0,2017-2018,1033,elective
53,10001,1.0,2018-2019,1144,compulsory
54,10001,1.0,2018-2019,1250,compulsory-elective
55,10001,1.0,2018-2019,1243,compulsory-elective
56,10001,1.0,2018-2019,1147,compulsory-elective
57,10001,1.0,2018-2019,1133,compulsory-elective
58,10001,1.0,2018-2019,1239,elective
59,10001,1.0,2018-2019,1220,elective
60,10001,1.0,2018-2019,1178,elective
61,10001,1.0,2018-2019,1168,elective
62,10001,1.0,2018-2019,1078,elective
63,10001,1.0,2018-2019,1027,elective
64,10001,1.0,2019-2020,1157,compulsory
65,10001,1.0,2019-2020,1244,compulsory-elective
66,10001,1.0,2019-2020,1183,compulsory-elective
67,10001,1.0,2019-2020,1108,compulsory-elective
68,10001,1.0,2019-2020,1267,elective
69,10001,1.0,2019-2020,1250,elective
70,10001,1.0,2019-2020,1246,elective
71,10001,1.0,2019-2020,1135,elective
72,10001,1.0,2019-2020,1099,elective
73,10001,1.0,2020-2021,1284,compulsory
74,10001,1.0,2020-2021,1239,compulsory
75,10001,1.0,2020-2021,1155,compulsory
76,10001,1.0,2020-2021,1130,compulsory
77,10001,1.0,2020-2021,1278,elective
78,10001,1.0,2020-2021,1204,elective
79,10001,1.0,2020-2021,1092,elective
80,10001,1.0,2020-2021,1060,elective
81,10001,1.0,2021-2022,1203,compulsory
82,10001,1.0,2021-2022,1086,compulsory
83,10001,1.0,2021-2022,1180,compulsory-elective
84,10001,1.0,2021-2022,1167,compulsory-elective
